contract,function,isExternal,writesPool,balanceChange
IPermit2Forwarder,permit,True,False,False
IPermit2Forwarder,permitBatch,True,False,False
IUnorderedNonce,revokeNonce,True,False,False
IERC721Permit_v4,permit,True,False,False
IERC721Permit_v4,permitForAll,True,False,False
WETHHook,_deposit,False,False,True
INotifier,subscriber,True,False,False
Notifier,onlyIfApproved,False,True,False
Notifier,onlyIfPoolManagerLocked,False,True,False
PositionManager,_clearOrTake,False,False,True
PositionManager,_pay,False,False,True
DeltaResolver,_take,False,False,True
NativeWrapper,_wrap,False,False,True
NativeWrapper,_unwrap,False,False,True
CurrencyReserves,syncCurrencyAndReserves,False,False,True
StateLibrary,getPositionInfo,False,True,False
CalldataDecoder,decodeCurrencyAndAddress,False,False,True
CalldataDecoder,decodeCurrencyAddressAndUint256,False,False,True
CalldataDecoder,decodeCurrencyPair,False,False,True
CalldataDecoder,decodeCurrencyUint256AndBool,False,False,True
CurrencyReserves,getSyncedCurrency,False,False,True
CurrencyLibrary,transfer,False,False,True
StateLibrary,getFeeGrowthGlobals,False,True,False
CalldataDecoder,decodeCurrency,False,False,True
StateLibrary,getTickInfo,False,True,False
CurrencyReserves,getSyncedReserves,False,False,True
StateLibrary,getTickLiquidity,False,True,False
CurrencyReserves,resetCurrency,False,False,True
CalldataDecoder,decodeCurrencyAndUint256,False,False,True
StateLibrary,getTickFeeGrowthOutside,False,True,False
CalldataDecoder,decodeCurrencyPairAndAddress,False,False,True
StateLibrary,getSlot0,False,True,False
DeltaResolver,_mapWrapUnwrapAmount,False,False,True
SafeCurrencyMetadata,callAndParseStringReturn,False,False,True
SafeCurrencyMetadata,currencyDecimals,False,False,True
IEIP712_v4,DOMAIN_SEPARATOR,True,False,False
BaseHook,getHookPermissions,False,False,True
Notifier,_setSubscribed,False,True,False
Notifier,_setUnsubscribed,False,True,False
DeltaResolver,_pay,False,False,True
BaseActionsRouter,msgSender,False,False,True
